Population: 256
Generation: 0



fitness: 11.7576  complexity: 6  size: 7
fitness: 11.7668  complexity: 6  size: 7
fitness: 11.8014  complexity: 6  size: 7
fitness: 11.8089  complexity: 6  size: 7
fitness: 11.832  complexity: 6  size: 7
fitness: 11.8396  complexity: 6  size: 7
fitness: 11.8407  complexity: 6  size: 7
fitness: 11.8579  complexity: 6  size: 7
fitness: 11.8617  complexity: 6  size: 7
fitness: 11.9624  complexity: 6  size: 7
fitness: 11.969  complexity: 6  size: 7
fitness: 11.9812  complexity: 6  size: 7
fitness: 12.045  complexity: 6  size: 7
fitness: 12.0456  complexity: 6  size: 7
fitness: 12.0526  complexity: 6  size: 7
fitness: 12.1199  complexity: 6  size: 7
fitness: 12.1516  complexity: 6  size: 7
fitness: 12.156  complexity: 6  size: 7
fitness: 12.1712  complexity: 6  size: 7
fitness: 12.2107  complexity: 6  size: 7
fitness: 12.2436  complexity: 6  size: 7
fitness: 12.3161  complexity: 6  size: 7
fitness: 12.328  complexity: 6  size: 7
fitness: 12.3297  complexity: 6  size: 7
fitness: 12.3765  complexity: 6  size: 7
fitness: 12.4734  complexity: 6  size: 7
fitness: 12.6188  complexity: 6  size: 7
fitness: 12.6322  complexity: 6  size: 7
fitness: 12.6889  complexity: 6  size: 7
fitness: 13.2521  complexity: 6  size: 7
fitness: 14.625  complexity: 6  size: 7
fitness: 15.3662  complexity: 6  size: 7
fitness: 16.2294  complexity: 6  size: 7
fitness: 17.3959  complexity: 6  size: 7
fitness: 18.3392  complexity: 6  size: 7
fitness: 18.813  complexity: 6  size: 7
fitness: 19.3628  complexity: 6  size: 7
fitness: 20.2427  complexity: 6  size: 7
fitness: 21.5381  complexity: 6  size: 7
fitness: 22.7312  complexity: 6  size: 7
fitness: 22.7447  complexity: 6  size: 7
fitness: 22.7556  complexity: 6  size: 7
fitness: 23.5031  complexity: 6  size: 7
fitness: 23.6918  complexity: 6  size: 7
fitness: 24.087  complexity: 6  size: 7
fitness: 24.3432  complexity: 6  size: 7
fitness: 24.5017  complexity: 6  size: 7
fitness: 25.1876  complexity: 6  size: 7
fitness: 25.3332  complexity: 6  size: 7
fitness: 25.7164  complexity: 6  size: 7
fitness: 26.9899  complexity: 6  size: 7
fitness: 27.3705  complexity: 6  size: 7
fitness: 29.8917  complexity: 6  size: 7
fitness: 30.2086  complexity: 6  size: 7
fitness: 32.5655  complexity: 6  size: 7
fitness: 35.091  complexity: 6  size: 7
fitness: 39.0986  complexity: 6  size: 7
fitness: 40.0963  complexity: 6  size: 7
fitness: 43.6651  complexity: 6  size: 7
fitness: 46.2922  complexity: 6  size: 7
fitness: 49.2476  complexity: 6  size: 7
fitness: 65.764  complexity: 6  size: 7
fitness: 245.213  complexity: 6  size: 7


Species: 9.4211  offsprings: 62  size: 5
fitness: 1.73358  complexity: 6  size: 7
fitness: 2.8926  complexity: 6  size: 7
fitness: 4.4556  complexity: 6  size: 7
fitness: 9.55192  complexity: 6  size: 7
fitness: 28.4718  complexity: 6  size: 7





fitness: 340.45  complexity: 6  size: 7



Generation: 1



Species: 42.0176  offsprings: 23  size: 108
fitness: 1.14635  complexity: 6  size: 7
fitness: 1.18953  complexity: 6  size: 7
fitness: 1.45081  complexity: 6  size: 7
fitness: 1.72094  complexity: 6  size: 7
fitness: 1.78298  complexity: 6  size: 7
fitness: 4.22162  complexity: 6  size: 7
fitness: 8.12961  complexity: 6  size: 7
fitness: 8.45047  complexity: 6  size: 7
fitness: 10.2506  complexity: 6  size: 7
fitness: 10.6311  complexity: 6  size: 7
fitness: 10.8112  complexity: 6  size: 7
fitness: 11.1064  complexity: 6  size: 7
fitness: 11.3125  complexity: 6  size: 7
fitness: 11.3144  complexity: 6  size: 7
fitness: 11.476  complexity: 6  size: 7
fitness: 11.5519  complexity: 6  size: 7
fitness: 11.7235  complexity: 6  size: 7
fitness: 11.7613  complexity: 6  size: 7
fitness: 11.9093  complexity: 6  size: 7
fitness: 11.9577  complexity: 6  size: 7
fitness: 12.0626  complexity: 7  size: 7
fitness: 12.142  complexity: 6  size: 7
fitness: 12.1891  complexity: 6  size: 7
fitness: 12.2539  complexity: 6  size: 7
fitness: 12.2639  complexity: 6  size: 7
fitness: 12.2787  complexity: 6  size: 7
fitness: 12.3381  complexity: 6  size: 7
fitness: 12.3565  complexity: 6  size: 7
fitness: 12.3639  complexity: 6  size: 7
fitness: 12.4574  complexity: 7  size: 7
fitness: 12.5368  complexity: 6  size: 7
fitness: 12.548  complexity: 6  size: 7
fitness: 12.6536  complexity: 6  size: 7
fitness: 12.7622  complexity: 6  size: 7
fitness: 13.0502  complexity: 6  size: 7
fitness: 13.3347  complexity: 6  size: 7
fitness: 13.3785  complexity: 6  size: 7
fitness: 13.8605  complexity: 6  size: 7
fitness: 13.9827  complexity: 7  size: 7
fitness: 13.997  complexity: 6  size: 7
fitness: 14.586  complexity: 6  size: 7
fitness: 14.966  complexity: 6  size: 7
fitness: 15.3634  complexity: 6  size: 7
fitness: 15.8909  complexity: 6  size: 7
fitness: 16.7132  complexity: 7  size: 7
fitness: 17.9212  complexity: 6  size: 7
fitness: 18.0753  complexity: 6  size: 7
fitness: 18.4305  complexity: 6  size: 7
fitness: 18.9088  complexity: 6  size: 7
fitness: 19.0385  complexity: 6  size: 7
fitness: 19.129  complexity: 6  size: 7
fitness: 19.3113  complexity: 6  size: 7
fitness: 19.6038  complexity: 6  size: 7
fitness: 20.0064  complexity: 6  size: 7
fitness: 20.1761  complexity: 6  size: 7
fitness: 20.4334  complexity: 6  size: 7
fitness: 20.7924  complexity: 7  size: 7
fitness: 20.8344  complexity: 6  size: 7
fitness: 21.0847  complexity: 6  size: 7
fitness: 21.2088  complexity: 6  size: 7
fitness: 21.4263  complexity: 6  size: 7
fitness: 21.6232  complexity: 6  size: 7
fitness: 21.853  complexity: 6  size: 7
fitness: 21.877  complexity: 6  size: 7
fitness: 22.1484  complexity: 6  size: 7
fitness: 22.342  complexity: 6  size: 7
fitness: 22.3938  complexity: 6  size: 7
fitness: 22.5565  complexity: 6  size: 7
fitness: 22.6127  complexity: 6  size: 7
fitness: 22.7646  complexity: 6  size: 7
fitness: 22.847  complexity: 6  size: 7
fitness: 23.1854  complexity: 6  size: 7
fitness: 23.3007  complexity: 6  size: 7
fitness: 24.5381  complexity: 6  size: 7
fitness: 24.5416  complexity: 6  size: 7
fitness: 24.5863  complexity: 6  size: 7
fitness: 25.788  complexity: 6  size: 7
fitness: 25.8596  complexity: 6  size: 7
fitness: 25.9232  complexity: 6  size: 7
fitness: 26.8051  complexity: 6  size: 7
fitness: 26.8223  complexity: 6  size: 7
fitness: 28.5718  complexity: 6  size: 7
fitness: 30.9928  complexity: 6  size: 7
fitness: 32.5179  complexity: 6  size: 7
fitness: 32.9845  complexity: 6  size: 7
fitness: 33.5369  complexity: 6  size: 7
fitness: 33.9986  complexity: 6  size: 7
fitness: 35.0143  complexity: 6  size: 7
fitness: 35.2816  complexity: 7  size: 7
fitness: 36.1104  complexity: 6  size: 7
fitness: 37.8445  complexity: 6  size: 7
fitness: 55.1872  complexity: 6  size: 7
fitness: 63.0589  complexity: 6  size: 7
fitness: 67.862  complexity: 6  size: 7
fitness: 69.1535  complexity: 6  size: 7
fitness: 74.768  complexity: 6  size: 7
fitness: 77.6256  complexity: 6  size: 7
fitness: 78.2742  complexity: 6  size: 7
fitness: 79.0095  complexity: 6  size: 7
fitness: 86.9245  complexity: 6  size: 7
fitness: 132.177  complexity: 6  size: 7
fitness: 144.673  complexity: 6  size: 7
fitness: 244.733  complexity: 6  size: 7
fitness: 282.073  complexity: 6  size: 7
fitness: 290.899  complexity: 6  size: 7
